水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1539,彦根市松原町　 ,75,2413818,-7991459,0351645480,1361555368,
01,消火栓,彦根市,1540,彦根市犬方町　 ,75,2301953,-8532170,0351350088,1361510548,
01,消火栓,彦根市,1541,彦根市開出今町　 ,200,2128162,-8240979,0351524732,1361402076,
01,消火栓,彦根市,1542,彦根市石寺町　 ,150,1715605,-8410238,0351430084,1361118708,
01,消火栓,彦根市,1543,彦根市高宮町　 ,100,2314360,-8436745,0351421048,1361515552,
01,消火栓,彦根市,1544,彦根市外町　 ,75,2462343,-8211598,0351533992,1361614336,
01,消火栓,彦根市,1545,彦根市平田町　 ,150,2212804,-8252201,0351521024,1361435556,
01,消火栓,彦根市,1546,彦根市平田町　 ,150,2222190,-8258168,0351519080,1361439264,
01,消火栓,彦根市,1547,彦根市平田町　 ,150,2230209,-8263251,0351517424,1361442432,
01,消火栓,彦根市,1548,彦根市彦富町　 ,75,1780906,-8853913,0351206048,1361144196,
01,消火栓,彦根市,1549,彦根市彦富町　 ,75,1790196,-8855780,0351205436,1361147868,
01,消火栓,彦根市,1550,彦根市和田町　 ,100,2303783,-8250310,0351521564,1361511556,
01,消火栓,彦根市,1551,彦根市大薮町　 ,150,2207034,-8236686,0351526064,1361433288,
01,消火栓,彦根市,1552,彦根市松原町　 ,200,2396973,-8018902,0351636588,1361548672,
01,消火栓,彦根市,1553,彦根市大薮町　 ,100,2193527,-8182033,0351543812,1361427996,
01,消火栓,彦根市,1554,彦根市中薮町　 ,100,2216195,-8151030,0351553856,1361436996,
01,消火栓,彦根市,1555,彦根市広野町　 ,150,2242211,-8480187,0351407008,1361446968,
01,消火栓,彦根市,1556,彦根市鳥居本町　 ,100,2667754,-8015813,0351637344,1361735844,
01,消火栓,彦根市,1557,彦根市栄町２丁目　 ,75,2246638,-8086286,0351614844,1361449107,
01,消火栓,彦根市,1558,彦根市栄町２丁目　 ,75,2234201,-8074671,0351618624,1361444196,
01,消火栓,彦根市,1559,彦根市馬場２丁目　 ,200,2288845,-7992561,0351645228,1361505904,
01,消火栓,彦根市,1560,彦根市古沢町　 ,75,2436146,-8007483,0351640260,1361604188,
